#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
1000,9120,10000,Retribucions regidors,578274.32,,578274.32,526294.63,526294.63
1000,9120,10001,Retribucions regidors sense dedicació,157993.2,,157993.2,207080.33,207080.33
,,,Òrgans de govern i personal directiu,736267.52,,736267.52,733374.96,733374.96
1000,9120,11000,Retribucions bàsiques,60183.9,,60183.9,123374.42,123374.42
1100,9121,11000,Retribucions bàsiques,44752.82,,44752.82,21223.58,21223.58
1200,1520,11000,Retribucions bàsiques,41701.41,,41701.41,,
1300,9122,11000,Retribucions bàsiques,44752.68,,44752.68,19869.69,19869.69
2000,9209,11000,Retribucions bàsiques,55076.56,,55076.56,39062.19,39062.19
4000,9120,11000,Retribucions bàsiques,59612.98,,59612.98,42010.33,39072.54
5000,1500,11000,Retribucions bàsiques,71461.46,,71461.46,32611.38,32611.38
6000,9120,11000,Retribucions bàsiques,55701.52,,55701.52,43207.53,43207.53
6300,9120,11000,Retribucions bàsiques,55576.64,,55576.64,24919.7,24919.7
7000,9120,11000,Retribucions bàsiques,44789.54,,44789.54,25134.15,25134.15
7001,9120,11000,Retribucions bàsiques,46641.42,,46641.42,19429.29,19429.29
9100,9125,11000,Retribucions bàsiques,80641.68,,80641.68,80660.26,80660.26
9200,9120,11000,Retribucions bàsiques,55701.66,,55701.66,25689.74,25689.74
1300,9122,11002,Altres remuneracions. Liquidació vacances personal eventual,,,,1390.02,1390.02
4000,9120,11002,Altres remuneracions. Liquidacions vacances eventuals,,,,1845.15,1845.15
6300,9120,11002,Altres remuneracions. Liquidació vacances personal eventual,,,,1734.9,1734.9
7000,9120,11002,Altres remuneracions. Liquidació vacances personal eventual,,,,1759.83,1759.83
,,,Personal eventual,716594.27,,716594.27,503922.16,500984.37
1100,9121,12000,Sous del grup A1,15526.7,,15526.7,14614.13,14614.13
1600,4321,12000,Sous del grup A1,15526.7,,15526.7,13384.63,13384.63
2110,9204,12000,Sous del grup A1,31053.38,,31053.38,19359.64,19359.64
2140,9207,12000,Sous del grup A1,15526.7,,15526.7,14677.32,14677.32
2200,9203,12000,Sous del grup A1,11506.4,,11506.4,,
2210,9203,12000,Sous del grup A1,43474.76,,43474.76,27767.26,27767.26
2220,9203,12000,Sous del grup A1,46580.1,,46580.1,35071.2,28422.0
2230,1514,12000,Sous del grup A1,15526.7,,15526.7,14677.32,14677.32
2300,9320,12000,Sous del grup A1,15526.7,,15526.7,14677.32,14677.32
2330,9320,12000,Sous del Grup A1.,13425.72,,13425.72,,
2400,9201,12000,Sous del Grup A1.,13425.72,,13425.72,,
2500,9310,12000,Sous del grup A1,15526.7,,15526.7,14677.32,14677.32
2510,9310,12000,Sous del grup A1,15526.7,,15526.7,14677.32,14677.32
