#CODI_ORGANIC,CODI_ECONOMIC,APLICACIO,PRESSUPOST_INICIAL
1320,32500,Expedició de documents,31495
1320,30902,Prestació de serveis de policia local,500
1320,39120,Multes per infraccions de circulació,1200000
1340,32900,Elements publicitaris a la via pública,30000
1340,33100,Entrada de vehicles en edificis,1042090
1340,32600,Servei de grua,276000
1340,33901,Taxes ocupació via pública per construcció,16000
1340,33001,Reserves per estacionament,28000
1340,33000,Taxa dipòsit de vehicles,0
1340,33600,Talls de trànsit,6000
1340,33102,Plaques de gual,1500
1340,33101,Altes guals inspecció,11500
1340,33500,Ocupació via pública taules i cadires,86000
1340,33904,Parades i fires,50000
1350,46129,DIBA - Ajuts per prevenció d'incendis forestals,0
1510,32500,Expedicio de documents,5000
1510,45080,PUSOC - Manteniment Instal·lacions Pau Casals,0
1511,39190,Multes infraccions activitats,20000
1511,32100,Taxes per llicències urbanístiques,165000
1511,32903,Llicència d'obertures d'establiments,250000
1511,46149,"DIBA, Adquisició de sonòmetres, Masia Can Serra",0
15111,39100,Multes per infraccions urbanístiques.,15000
15112,39100,Multes coercitives urbanisme,30000
15113,39100,Multes de protecció de la legalitat,5000
1531,29000,"Impost sobre construccions, instal·lacions i obres",30000
1531,32902,Llicències d'autotaxis i vehicles de lloguer,0
1531,33400,Taxa obertura de rases,13000
1532,76102,DIBA - Programa complementari inversions financ. sostenibles,0
1532,35034,Contribucions especials sector 38 Ximelis,0
1532,35035,Contribucions especials carrer Guatlla,0
1532,35001,CE Carrer Aneto i Altres,0
1532,76103,DIBA - Programa complementari inversions financ. sostenibles,0
1532,76101,DIBA - Programa complementari inversions financ. sostenibles,0
1532,76100,Subvenció Diputació Pla Xarxa de Governs Locals,0
1532,35003,Contribucions especials La Perla,0
1621,30300,Prestació de servei recollida d'envasos,270000
1621,30202,Taxa pel servei de deixalleria,25344.33
1621,30201,Taxa per recollida d'escombraries industrial i cial.,553272.41
1621,46101,DIVA - Programa complementari prestació adequada serveis púb,0
1621,48000,Aportació Addenda conveni de recollida de roba Humana,0
1621,30400,Retorn del cànon,135000
1621,30303,Prestació del servei recollida de paper i cartró,79000
