#Org.,Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,DRN,Recaptació líquida
9320,11200,Impost sobre béns immobles. béns immobles de natural rústica,4000.0,,4000.0,5430.8,3743.69
9320,11300,Impost sobre béns immobles de naturalesa urbana,28947469.03,,28947469.03,29145035.82,26565083.04
9320,11400,Impost sobre béns immobles de característiques especials,189000.0,,189000.0,188357.11,6956.13
,,IBI,29140469.03,,29140469.03,29338823.73,26575782.86
9320,11500,Impost sobre vehicles de tracció mecànica,4450000.0,,4450000.0,4437179.7,3941785.99
,,IVTM,4450000.0,,4450000.0,4437179.7,3941785.99
9320,11600,Impost sobre l'increment del valor del terreny (Plus-vàlua),1900000.0,,1900000.0,3028030.64,1877410.3
,,IIVT,1900000.0,,1900000.0,3028030.64,1877410.3
9320,13000,Impost sobre activitats econòmiques,4000000.0,,4000000.0,5018940.47,4047734.62
9320,13001,IAE quotes provincials i nacionals,,,,382694.97,381019.0
9320,17100,IAE quotes provincials i nacionals,,,,,
,,IAE,4000000.0,,4000000.0,5401635.44,4428753.62
,,1. IMPOSTOS DIRECTES,39490469.03,,39490469.03,42205669.51,36823732.77
9320,29000,Impost sobre construcciones intal·lacions i obres,400000.0,,400000.0,502171.87,46312.91
9320,29001,Inspecció impost de construccions,,,,,
,,ICIO,400000.0,,400000.0,502171.87,46312.91
,,2. IMPOSTOS INDIRECTES,400000.0,,400000.0,502171.87,46312.91
1620,30200,Taxa per recollida domiciliària d'escombraries,3072501.58,,3072501.58,3217112.74,3006468.89
1620,30201,Taxa per recollida d'escombraries industrial i cial.,967589.7,,967589.7,875066.99,711879.03
1620,30202,Taxa pel servei de deixalleria,38501.53,,38501.53,30933.99,28605.79
1620,30300,Prestació de servei recollida d'envasos,455788.69,,455788.69,405425.04,321342.07
1620,30301,Recollida residus elèctrics i electrònics,4000.0,,4000.0,6654.19,3541.83
1620,30302,Recollida de residus oli vegetal,2451.0,,2451.0,,
1620,30400,Retorn del cànon,144000.0,,144000.0,158914.12,158914.12
1640,30900,Taxes de cementiri municipal,20000.0,,20000.0,19721.23,19721.23
1640,30901,Taxes manteniment cementiri municipal,150000.0,,150000.0,136277.8,128044.62
1320,30902,Prestació de serveis de policia local,1500.0,,1500.0,1522.0,1522.0
3221,31200,Rebuts escola d'art,74580.0,,74580.0,66517.15,55910.11
3370,31201,Ingressos Torre Bassas,,,,,
3420,31300,Taxa per als serveis i activitats esportives,6281.0,,6281.0,,
3132,31901,Taxes per inscripció d'animals de companyia,11340.0,,11340.0,2122.5,2122.5
