#Org.,Pro.,Eco.,Descripció,Crèdits inicials,Modif. de crèdit,Crèdits totals consig.,ORN,Pagaments fets
1U001,9120,10000,Retribucions bàsiques.,468399.74,,468399.74,495000.31,495000.31
1U001,9120,10001,Altres remuneracions.,229999.92,,229999.92,234065.04,234065.04
,,,Òrgans de govern i personal directiu,698399.66,,698399.66,729065.35,729065.35
1U001,9120,11000,Retribucions bàsiques.,286499.92,,286499.92,179980.36,179980.36
1U005,9120,11000,Retribucions bàsiques.,,,,20459.49,20459.49
1U005,9202,11000,Retribucions bàsiques,55099.94,,55099.94,56062.0,56062.0
4U042,9200,11000,Retribucions bàsiques,74999.96,,74999.96,75952.34,75952.34
9U002,9125,11000,Retribucions bàsiques,81250.96,,81250.96,12031.05,12031.05
1U001,9120,1100201,Liquidació vacances personal eventual,,,,1350.0,1350.0
9U002,9125,1100201,Liquidació vacances personal eventual,,,,295.99,295.99
,,,Personal eventual,497850.78,,497850.78,346131.23,346131.23
1U008,9121,12000,Sous del Grup A1.,,,,1109.05,1109.05
1U014,4330,12000,Salari Base A1,14677.32,,14677.32,14677.32,14677.32
2U017,9204,12000,Sous del grup A1,11741.86,,11741.86,9099.78,9099.78
2U020,9203,12000,Sous del grup A1,14677.32,,14677.32,11122.05,11122.05
2U021,9207,12000,Sous del grup A1,14677.32,,14677.32,14786.39,14786.39
2U022,9203,12000,Sous del grup A1,73778.29,,73778.29,49171.06,49171.06
2U023,9203,12000,Sous del grup A1,14677.32,,14677.32,14677.32,14677.32
2U024,9320,12000,Sous del grup A1,14677.32,,14677.32,14677.32,14677.32
2U026,9320,12000,Sous del grup A1,3327.15,,3327.15,8800.11,8800.11
2U027,9201,12000,Sous del grup A1,14677.32,,14677.32,14677.32,14677.32
2U029,9310,12000,Sous del grup A1,29354.64,,29354.64,20040.02,20040.02
2U061,9204,12000,Sous dels grup de A1,14677.32,,14677.32,14677.32,14677.32
3U038,3221,12000,Sous del grup A1,14677.32,,14677.32,9556.76,9556.76
4U043,1510,12000,Sous del grup A1,29354.64,,29354.64,29354.64,29354.64
4U045,1610,12000,Sous del grup A1,14677.32,,14677.32,10011.99,10011.99
